device_id=0 interval_ms=1 counter_resolution_uJ=15.3
timestamp_ns,current_socket_power_W,inst_power_W,gfx_clock_MHz
944801344816153,278,663.381,1023
944801347140616,287,631.513,1040
944801349605027,301,923.056,1065
944801351832687,310,669.779,1081
944801354153974,319,649.019,1097
944801356630974,331,898.407,1120
944801358853255,340,684.819,1135
944801361165430,348,648.858,1150
944801363572715,360,934.823,1172
944801365853194,367,657.004,1186
944801368176724,375,641.992,1200
944801370642477,386,922.367,1221
944801372861163,393,667.847,1234
944801375184345,400,648.464,1247
944801377648394,411,919.758,1266
944801379876043,417,670.037,1278
944801382185213,424,665.597,1291
944801384686399,434,903.991,1308
944801386855621,440,679.423,1319
944801389196749,446,638.885,1330
944801391673759,456,926.347,1346
944801393897602,461,661.503,1357
944801396209837,467,663.444,1367
944801398686035,475,901.299,1382
944801400913493,481,672.182,1392
944801403216005,486,670.831,1402
944801405692453,494,904.989,1416
944801407919471,499,671.326,1425
944801410225967,504,646.23,1434
944801412654595,512,945.507,1447
944801414934501,516,655.552,1455
944801417240236,521,645.613,1463
944801419715002,528,912.263,1476
944801421929943,532,682.336,1484
944801424251251,536,649.007,1491
944801426721551,543,914.649,1502
944801428938434,547,660.688,1510
944801431261334,551,654.451,1517
944801433735990,557,910.733,1528
944801435962338,561,684.633,1535
944801438268013,564,651.098,1542
944801440744852,570,912.92,1551
944801442975866,574,676.446,1557
944801445282873,577,653.276,1564
944801447754054,582,904.844,1573
944801449979479,586,690.156,1579
944801452293367,589,645.64,1584
944801454765539,593,895.712,1593
944801457028711,597,686.852,1599
944801459326474,600,646.435,1604
944801461770574,604,921.161,1611
944801464022180,607,658.722,1617
944801466309457,610,668.985,1622
944801468788689,614,906.565,1629
944801470966124,617,693.204,1634
944801473133694,619,691.432,1639
944801475327523,622,684.599,1644
944801477801499,626,907.434,1651
944801480048165,629,688.405,1655
944801482337937,631,646.646,1659
944801484822507,634,910.209,1666
944801487045380,637,667.966,1670
944801489351104,639,661.164,1674
944801491822006,642,906.773,1680
944801494067050,644,670.454,1684
944801496360807,647,665.427,1688
944801498845768,649,890.16,1694
944801501075941,651,684.879,1698
944801503372883,653,645.867,1701
944801505854579,656,910.252,1707
944801508092844,658,681.255,1710
944801510378010,660,658.08,1713
944801512855410,662,900.844,1718
944801515096459,664,684.389,1721
944801517392699,666,656.345,1724
944801519860905,669,914.526,1729
944801522100213,670,669.814,1731
944801524399047,672,663.858,1734
944801526892791,674,899.001,1738
944801529107391,676,674.538,1741
944801531413727,677,646.507,1743
944801533885359,679,918.477,1747
944801536126538,681,682.403,1750
944801538425282,682,640.429,1752
944801540907619,684,916.969,1756
944801543146616,685,657.252,1758
944801545433383,687,663.012,1760
944801547823773,689,945.271,1764
944801550143940,690,650.441,1766
944801552439730,691,656.867,1768
944801554911162,693,908.021,1771
944801557149567,694,678.355,1773
944801559455853,695,647.343,1775
944801561941375,697,913.935,1778
944801564165398,698,678.002,1780
944801566469041,699,655.863,1782
944801568942475,700,891.092,1784
944801571185537,702,698.228,1786
944801573476750,702,646.079,1787
944801575865228,701,817.182,1791
944801578114830,699,525.951,1797
944801580308168,692,330.549,1803
944801582894770,678,280.47,1806
944801585167596,670,216.472,1807
944801587493771,661,207.804,1813
944801590058982,649,278.616,1816
944801592232070,641,220.711,1820
944801594505037,632,200.922,1826
944801596890470,620,293.963,1834
944801599133243,613,200.98,1839
944801601377716,605,206.009,1845
944801603902297,594,287.906,1845
944801606148994,587,201.61,1850
944801608311055,580,213.026,1855
944801610539686,573,204.295,1860
944801612918249,562,287.119,1868
944801615170795,556,206.575,1872
944801617535057,549,193.526,1877
944801619929505,540,275.061,1844
944801622168129,533,177.316,1812
944801624321207,526,173.957,1778
944801626555236,519,174.783,1746
944801629059005,510,246.308,1711
944801631317831,505,215.991,1718
944801633568344,499,183.089,1693
944801635949201,490,253.355,1653
944801638178362,484,181.281,1626
944801640322237,478,187.836,1601
